timestamp,symbol,side,qty,avg_entry_price,cost_basis,unrealized_pl,unrealized_plpc
2025-06-16T14:31:22.145226,QQQ250616P00534000,long,241,0.566702,13657.5254,,
2025-06-16T14:31:22.145230,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:31:22.145232,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:31:22.145234,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:31:22.145235,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:32:36.938339,QQQ250616P00533000,long,43,0.399302,1717,,
2025-06-16T14:32:36.938350,QQQ250616P00534000,long,241,0.566702,13657.5254,,
2025-06-16T14:32:36.938353,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:32:36.938355,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:32:36.938357,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:32:36.938359,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:33:51.474920,QQQ250616P00533000,long,51,0.388431,1981,,
2025-06-16T14:33:51.474945,QQQ250616P00534000,long,233,0.566702,13204.1635,,
2025-06-16T14:33:51.474948,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:33:51.474951,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:33:51.474953,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:33:51.474955,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:35:06.050844,QQQ250616P00533000,long,51,0.388431,1981,,
2025-06-16T14:35:06.050856,QQQ250616P00534000,long,233,0.566702,13204.1635,,
2025-06-16T14:35:06.050859,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:35:06.050861,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:35:06.050863,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:35:06.050865,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:36:20.652955,QQQ250616P00533000,long,51,0.388431,1981,,
2025-06-16T14:36:20.652965,QQQ250616P00534000,long,233,0.566702,13204.1635,,
2025-06-16T14:36:20.652967,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:36:20.652969,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:36:20.652971,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:36:20.652973,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:37:35.288654,QQQ250616P00533000,long,59,0.380508,2245,,
2025-06-16T14:37:35.288666,QQQ250616P00534000,long,225,0.566702,12750.8017,,
2025-06-16T14:37:35.288668,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:37:35.288675,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:37:35.288677,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:37:35.288679,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:38:50.140122,QQQ250616P00533000,long,59,0.380508,2245,,
2025-06-16T14:38:50.140134,QQQ250616P00534000,long,225,0.566702,12750.8017,,
2025-06-16T14:38:50.140137,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:38:50.140139,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:38:50.140141,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:38:50.140143,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:40:04.777487,QQQ250616P00533000,long,59,0.380508,2245,,
2025-06-16T14:40:04.777511,QQQ250616P00534000,long,225,0.566702,12750.8017,,
2025-06-16T14:40:04.777514,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:40:04.777516,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:40:04.777518,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:40:04.777520,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:41:19.417314,QQQ250616P00533000,long,66,0.37303,2462,,
2025-06-16T14:41:19.417325,QQQ250616P00534000,long,218,0.566702,12354.1101,,
2025-06-16T14:41:19.417327,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:41:19.417329,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:41:19.417331,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:41:19.417332,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:42:33.758720,QQQ250616P00533000,long,66,0.37303,2462,,
2025-06-16T14:42:33.758744,QQQ250616P00534000,long,218,0.566702,12354.1101,,
2025-06-16T14:42:33.758748,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:42:33.758751,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:42:33.758753,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:42:33.758755,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:43:57.255235,QQQ250616P00533000,long,66,0.37303,2462,,
2025-06-16T14:43:57.255247,QQQ250616P00534000,long,218,0.566702,12354.1101,,
2025-06-16T14:43:57.255249,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:43:57.255252,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:43:57.255253,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:43:57.255255,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:45:11.935556,QQQ250616P00533000,long,66,0.37303,2462,,
2025-06-16T14:45:11.935566,QQQ250616P00534000,long,218,0.566702,12354.1101,,
2025-06-16T14:45:11.935569,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:45:11.935570,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:45:11.935572,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:45:11.935574,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:46:26.565244,QQQ250616P00533000,long,73,0.370822,2707,,
2025-06-16T14:46:26.565260,QQQ250616P00534000,long,211,0.566702,11957.4185,,
2025-06-16T14:46:26.565264,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:46:26.565266,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:46:26.565268,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:46:26.565270,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:47:40.915940,QQQ250616P00533000,long,80,0.368125,2945,,
2025-06-16T14:47:40.915953,QQQ250616P00534000,long,204,0.566702,11560.7269,,
2025-06-16T14:47:40.915956,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:47:40.915959,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:47:40.915961,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:47:40.915963,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:49:13.849246,QQQ250616P00533000,long,87,0.366667,3190,,
2025-06-16T14:49:13.849268,QQQ250616P00534000,long,197,0.566702,11164.0353,,
2025-06-16T14:49:13.849271,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:49:13.849273,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:49:13.849275,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:49:13.849277,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:50:28.282509,QQQ250616P00533000,long,94,0.36617,3442,,
2025-06-16T14:50:28.282519,QQQ250616P00534000,long,190,0.566702,10767.3437,,
2025-06-16T14:50:28.282521,QQQ250616P00535000,short,-284,1.02669,-29158,,
2025-06-16T14:50:28.282523,SPY250616P00602000,long,78,0.521538,4068,,
2025-06-16T14:50:28.282524,SPY250616P00603000,long,4,0.60378,241.5122,,
2025-06-16T14:50:28.282526,SPY250616P00604000,short,-82,1.109878,-9101,,
2025-06-16T14:51:42.425729,QQQ250616P00533000,long,100,0.3682,3682,,
2025-06-16T14:51:42.425744,QQQ250616P00534000,long,184,0.566702,10427.3223,,
